Region,District, 0-28 DAYS FEMALE ,0-28 DAYS MALE,0-28 DAYS TOTAL,10-19 YEARS FEMALE ,10-19 YEARS MALE ,10-19YRS TOTAL,20+ YRS FEMALE,20+ YRS MALE ,20+ YRS TOTAL,5-9YRS FEMALE,5-9YRS MALE,5-9YRS TOTAL,29 DAYS-4YRS FEMALE,29DAYS - 4YRS MALE,29 DAYS - 4YRS TOTAL,0-28 DAYS (B/S & RDT) FEMALE,0-28 DAYS (B/S & RDT) MALE ,0-28 DAYS  (B/S & RDT) TOTAL,10-19 YRS (B/S & RDT) FEMALE ,10-19 YRS (B/S & RDT) MALE ,10-19 YRS  (B/S & RDT) TOTAL,20+  (B/S &RDT) FEMALE, 20+ (B/S & RDT) MALE ,20 + (B/S & RDT) TOTAL,29DAYS-4YRS (B/S & RDT) FEMALE ,29DAYS-4YRS (B/S & RDT) MALE  ,29DAYS-4 YRS  (B/S & RDT) TOTAL,5-9YRS (B/S & RDT) FEMALE ,5-9YRS (B/S & RDT) MALE ,5-9YRS (B/S & RDT) TOTAL,0-28 DAYS FEMALE CT,0-28 DAYS MALE  CT,0-28 DAYS TOTAL CT,10-19 YRS FEMALE CT,10-19 YRS MALE  CT,10-19 YRS CT TOTAL,20 + YRS FEMALE CT,20 + YRS  MALE CT,20 + YRS CT TOTAL,29DAYS - 4YRS FEMALE CT,29 DAYS - 4YRS MALE CT,29 DAYS - 4YRS  CT TOTAL,5-9YRS FEMALE CT,5-9YRS MALE CT,5-9YRS CT TOTAL,PREG 10-19YRS,PREG 20 + YRS,TOTAL PREG,TOTAL CASES  FEMALE,TOTAL CASES  MALE,GRAND TOTAL CASES,<5YRS FEMALES TOTAL  ,<5YRS MALE TOTAL,< 5YRS GRAND TOTAL,POPULATION IN 2014,POPULATION IN 2024,AREA(Km2),ANNUAL GROWTH RATE[Pt​=P0​×(1+r)t],TOTAL POPULATION,POPULATION DENSITY(People per km2),CORDINATES (LATITUDE ° N),CORDINATES (LONGITUDE ° E),,,
Tooro,Kabarole District,22,24,46,6806,5873,12679,13313,10187,23500,4066,3857,7923,4103,3712,7815,15,11,26,5590,4929,10519,52566,64310,116876,10724,8376,19100,3274,2952,6226,3427,3376,6803,15,11,26,5559,4913,10472,10717,8477,19194,3223,15439,18662,3367,3303,6670,89,269,358,28310,23653,51963,4125,3736,7861,196749,230368,1184,1.015900003,223213.3823,188.5248161,0.6833, 30.2974
Teso,Kaberamaido District,10,10,20,22616,13841,36457,21356,7639,28995,11787,9333,21120,11444,10132,21576,8,10,18,21440,13067,34507,154442,135348,289790,19502,7252,26754,10898,9598,20496,11425,8982,20407,7,10,17,30111,13237,43348,19641,7334,26975,10920,30627,41547,11573,9089,20662,698,1514,2212,67213,40955,108168,11454,10142,21596,105152,140986,689,1.02975959,132954.885,192.9679028,1.6325, 33.1239
Bunyoro,Kagadi District,47,38,85,16364,10586,26950,20845,11151,31996,8507,6571,15078,9744,8772,18516,35,28,63,15572,10305,25877,119068,124600,243668,19698,10472,30170,9362,8267,17629,8164,6272,14436,37,28,65,15108,10029,25137,19071,10102,29173,9236,29189,38425,7978,6161,14139,914,1924,2838,55507,37118,92625,9791,8810,18601,351033,471111,1420,1.029858434,444189.3943,312.8094326,0.95,30.8
Bunyoro,Kakumiro District,32,33,65,19801,13289,33090,23168,10312,33480,10295,8698,18993,14017,12356,26373,32,13,45,19258,12973,32231,155284,150514,305798,21565,9842,31407,13396,11888,25284,10136,8387,18523,31,12,43,19013,13041,32054,21149,10049,31198,13336,37800,51136,10123,8490,18613,1067,3394,4461,67313,44688,112001,14049,12389,26438,293108,428176,1701,1.038626657,396920.3732,233.3453105,1.0028,31.3084
Teso,Kalaki District,13,12,25,15709,8681,24390,14927,4731,19658,8402,6810,15212,9215,8448,17663,13,12,25,15709,8681,24390,114580,105116,219696,14927,4731,19658,9215,8448,17663,8402,6810,15212,13,12,25,15706,8679,24385,14908,4726,19634,9212,24305,33517,8393,6804,15197,445,769,1214,48266,28682,76948,9228,8460,17688,109874,149736,658,1.031438004,140747.2665,213.9016208,,
South Central,Kalangala District,6,5,11,1117,994,2111,2815,2798,5613,718,691,1409,943,1033,1976,6,5,11,1079,958,2037,10866,17378,28244,2696,2709,5405,915,1009,1924,691,657,1348,6,6,12,1103,992,2095,2726,2700,5426,924,4953,5877,712,695,1407,38,300,338,5599,5521,11120,949,1038,1987,54293,74411,452,1.03202289,69864.80974,154.5681632,0.6351,32.5373
Busoga,Kaliro District,117,80,197,14846,8641,23487,32188,15516,47704,10425,7717,18142,21651,18902,40553,113,77,190,14834,8631,23465,164700,212924,377624,32169,15490,47659,21642,18851,40493,10417,7703,18120,113,77,190,14681,8553,23234,31917,15309,47226,21560,61437,82997,10358,7664,18022,2841,5567,8408,79227,50856,130083,21768,18982,40750,286397,236199,779,0.980914059,245480.0124,315.1219672,0.8927,33.5028
South Central,Kalungu District,25,19,44,9778,9093,18871,8432,5243,13675,5287,5561,10848,4426,4637,9063,25,17,42,9604,11320,20924,81754,64280,146034,7999,4994,12993,4227,4400,8627,5087,5391,10478,25,17,42,9835,8777,18612,7907,4906,12813,4208,14140,18348,5094,5365,10459,246,827,1073,27948,24553,52501,4451,4656,9107,174368,221569,790,1.024245869,211203.2298,267.3458605,0.0953,31.7651
Kampala,Kampala,1334,1237,2571,30431,25925,56356,74702,64028,138730,23737,22700,46437,27154,26304,53458,492,413,905,20922,17823,38745,279090,300838,579928,45190,41783,86973,16937,16085,33022,15108,14440,29548,479,397,876,19823,17306,37129,44825,41659,86484,16813,80338,97151,14830,14033,28863,1085,3879,4964,157358,140194,297552,28488,27541,56029,1507080,1797722,195,1.017791039,1735422.756,8899.603876,0.3152,32.5816
Kampala,Kampala District,1334,1237,2571,30431,25925,56356,74702,64028,138730,23737,22700,46437,27154,26304,53458,492,413,905,20922,17823,38745,279090,300838,579928,45190,41783,86973,16937,16085,33022,15108,14440,29548,479,397,876,19823,17306,37129,44825,41659,86484,16813,80338,97151,14830,14033,28863,1085,3879,4964,157358,140194,297552,28488,27541,56029,1507080,1797722,195,1.017791039,1735422.756,8899.603876,0.3152,32.5816
Busoga,Kamuli District,240,119,359,43916,25789,69705,70570,31099,101669,29392,22370,51762,52063,43886,95949,213,116,329,43598,25489,69087,434254,493466,927720,69445,30719,100164,51666,43570,95236,28992,22016,51008,209,116,325,42457,24788,67245,67738,29806,97544,50813,137903,188716,28287,21714,50001,4040,8197,12237,196181,123263,319444,52303,44005,96308,486319,540252,1515,1.01057259,529006.9212,349.1794859,0.9187,33.1239
Tooro,Kamwenge District,22,15,37,32531,20056,52587,40734,19931,60665,15678,12312,27990,19722,18270,37992,22,15,37,29978,19548,49526,231090,242988,474078,38413,19508,57921,19131,17312,36443,15206,11887,27093,22,15,37,29715,19442,49157,38584,18874,57458,19870,61984,81854,15094,11939,27033,769,2416,3185,108687,70584,179271,19744,18285,38029,270668,337167,1695,1.022211623,322673.5983,190.3679046,0.2903,30.574
Kigezi,Kanungu District,19,20,39,12599,10652,23251,16858,11075,27933,5889,5111,11000,5986,5104,11090,19,20,39,12229,10323,22552,89362,95684,185046,15984,10616,26600,5691,4855,10546,5715,4964,10679,8,9,17,11893,10089,21982,15609,10422,26031,5534,22910,28444,5585,4829,10414,236,635,871,41351,31962,73313,6005,5124,11129,252144,310062,1275,1.020892447,297501.0911,233.3341891,0.8195, 29.7426
Bugisu,Kapchorwa District,8,3,11,1657,1337,2994,2551,1648,4199,758,602,1360,644,590,1234,4,1,5,1616,1312,2928,11054,13122,24176,2431,1591,4022,628,574,1202,745,587,1332,4,1,5,1606,1380,2986,2405,1583,3988,627,3027,3654,731,584,1315,15,42,57,5618,4180,9798,652,593,1245,105186,133621,212,1.024216287,127377.1015,600.8353844,1.3514,34.3754
Teso,Kapelebyong District,3,9,12,13315,6226,19541,15084,4585,19669,5247,3672,8919,4026,3682,7708,3,9,12,13310,6226,19536,72350,72602,144952,15084,4585,19669,4026,3679,7705,5243,3672,8915,3,9,12,13115,6165,19280,14671,4515,19186,3972,13090,17062,5188,3630,8818,537,1068,1605,37675,18174,55849,4029,3691,7720,87580,143536,1203,1.050644012,130031.8255,108.0896305,2.211,33.7518
Karamoja,Karamoja,321,334,655,61670,40391,102061,100846,51330,152176,40729,33445,74174,102965,94338,197303,246,256,502,60124,39405,99529,743016,815284,1558300,95037,48195,143232,100218,91664,191882,39489,32522,72011,257,260,517,59094,38725,97819,93567,48076,141643,98595,255056,353651,38755,31837,70592,2644,7403,10047,306531,219838,526369,103286,94672,197958,965010,1496117,27407,1.044824564,1370499.271,50.00544647,2.8309,34.1532
Karamoja,Karenga District,2,1,3,5810,3762,9572,8350,3591,11941,2597,2140,4737,4906,4671,9577,1,1,2,5779,3744,9523,47678,51930,99608,8231,3533,11764,4879,4564,9443,2589,2167,4756,1,1,2,5460,3566,9026,7863,3412,11275,4675,13277,17952,2504,2027,4531,273,760,1033,21665,14165,35830,4908,4672,9580,51233,100375,25702,1.069565971,87742.58075,3.413842532,3.5691,33.6931
Tooro,Kasese District,122,72,194,42728,37072,79800,67237,40941,108178,19512,16971,36483,20356,19257,39613,103,61,164,41148,35572,76720,305960,338630,644590,57924,38585,96509,19357,18310,37667,18679,16261,34940,110,89,199,41462,35828,77290,58379,39526,97905,19324,81876,101200,18774,16702,35476,833,1633,2466,149955,114313,264268,20478,19329,39807,694987,853831,2795,1.020797326,819394.1729,293.1642837,0.1699, 30.0781
North Central,Kassanda District,29,15,44,9957,7586,17543,15081,8629,23710,6456,5646,12102,7200,6815,14015,29,15,44,9826,7491,17317,86956,98322,185278,14883,8459,23342,7113,6736,13849,6366,5560,11926,29,15,44,9448,11119,20567,14433,8232,22665,6897,22953,29850,6145,5373,11518,702,2407,3109,38723,28691,67414,7229,6830,14059,271544,314008,1819,1.014635493,305014.589,167.6825668,0.5761,31.7195
Teso,Katakwi District,15,6,21,33820,21244,55064,33317,150876,184193,17258,13539,30797,17619,15920,33539,15,6,21,33915,21161,55076,238866,225168,464034,33470,14859,48329,17571,15870,33441,17257,13535,30792,16,6,22,33206,20796,54002,32994,14665,47659,17265,51840,69105,16877,13221,30098,1837,4785,6622,102029,201585,303614,17634,15926,33560,166231,234332,2306,1.03493234,218780.0327,94.87425528,1.9142,33.9583
North Central,Kayunga District,74,48,122,15852,10726,26578,19836,11248,31084,10176,8415,18591,13889,13168,27057,74,48,122,15825,10716,26541,144622,152430,297052,19611,11004,30615,13799,13104,26903,10155,8420,18575,74,48,122,15260,10357,25617,18990,10763,29753,13428,39399,52827,9837,8196,18033,1271,2718,3989,59827,43605,103432,13963,13216,27179,368062,439175,1596,1.017821599,423930.13,265.6203822,0.7014,32.9029
Ankole,Kazo District,40,30,70,17971,14527,32498,19758,12027,31785,8279,6960,15239,5705,5008,10713,40,30,70,17925,14485,32410,116864,115054,231918,19663,11947,31610,5676,4981,10657,8254,6937,15191,40,29,69,17582,14152,31734,19314,11750,31064,5544,24754,30298,8110,6824,14934,201,738,939,51753,38552,90305,5745,5038,10783,177054,208898,1558,1.016676661,202101.052,129.7182619,0.3576,32.5571
Bunyoro,Kibaale District,40,25,65,5715,4187,9902,8340,5081,13421,3081,2637,5718,4837,4555,9392,27,14,41,5374,3930,9304,48910,50192,99102,7050,4286,11336,4348,4084,8432,2841,2446,5287,28,13,41,5176,3810,8986,7691,4267,11958,4296,13494,17790,2799,2379,5178,605,1821,2426,22013,16485,38498,4877,4580,9457,140947,237649,1153,1.053629727,214072.0462,185.6652612,0.8088,31.0335
North Central,Kiboga District,8,3,11,11234,9614,20848,15956,11957,27913,6491,5960,12451,6829,6819,13648,8,3,11,11149,9484,20633,93486,106490,199976,15824,11863,27687,6728,6701,13429,6289,5829,12118,8,3,11,11185,9217,20402,15458,11615,27073,6569,25928,32497,6119,5686,11805,223,703,926,40518,34353,74871,6837,6822,13659,148218,183255,1586,1.02144618,175640.5774,110.7443741,0.8658,31.9473
Bukedi,Kibuku District,23,14,37,38466,20760,59226,49529,12537,62066,30158,23841,53999,41573,37032,78605,23,14,37,38017,20473,58490,382262,384748,767010,49084,12272,61356,41071,36627,77698,29787,23496,53283,23,14,37,38331,20663,58994,49370,12345,61715,41394,98750,140144,30056,23730,53786,1950,4505,6455,159749,94184,253933,41596,37046,78642,202033,249441,484,1.021302871,239143.584,494.0983141,1.0453,33.7993
Kigezi,Kigezi,54,25,79,26683,23947,50630,39249,30558,69807,12663,11478,24141,13085,11670,24755,32,24,56,25675,23021,48696,195296,223616,418912,36776,29013,65789,12159,10890,23049,12027,10909,22936,21,13,34,24531,22318,46849,35323,28078,63401,11634,55338,66972,11550,10437,21987,374,1309,1683,91734,77678,169412,13139,11695,24834,1376774,1787231,4993,1.026435829,1696356.324,339.7469105,0.2667,31.6167
Bunyoro,Kikuube District,25,25,50,26944,17337,44281,32837,16865,49702,15900,13140,29040,27180,26223,53403,24,24,48,25991,16645,42636,250254,264084,514338,31783,16145,47928,26560,25949,52509,18688,12857,31545,23,37,60,25906,17011,42917,30986,15734,46720,26492,71222,97714,15571,12783,28354,1327,3374,4701,102886,73590,176476,27205,26248,53453,267455,379547,2098,1.035622516,353885.3585,168.6774826,1.2375,30.9876
Ankole,Kiruhura District,1,6,7,9921,10125,20046,11828,9409,21237,5167,5073,10240,4387,4316,8703,1,6,7,9775,10032,19807,77514,77594,155108,11366,8984,20350,4213,4146,8359,5094,4987,10081,1,6,7,9734,9996,19730,11279,8936,20215,4176,18798,22974,5069,4960,10029,186,671,857,31304,28929,60233,4388,4322,8710,151023,203502,3003,1.03027357,191718.2976,63.84225696,0.322,30.8039
Bunyoro,Kiryandongo District,69,33,102,18909,14961,33870,17032,7874,24906,10235,8361,18596,14136,13399,27535,62,24,86,18280,14592,32872,158178,137332,295510,15929,7342,23271,13560,12939,26499,10744,8064,18808,64,24,88,17988,14411,32399,15665,7327,22992,13279,34920,48199,9710,8021,17731,2649,3604,6253,60381,44628,105009,14205,13432,27637,266197,364872,3582,1.032033365,342572.9449,95.63733806,2.018,32.0837
Kigezi,Kisoro District,1,0,1,1622,1758,3380,3306,3334,6640,943,904,1847,1149,1080,2229,1,0,1,1566,1706,3272,14698,20576,35274,3148,3253,6401,1093,1025,2118,925,843,1768,1,0,1,1632,1661,3293,3038,3189,6227,1050,5801,6851,906,820,1726,6,53,59,7021,7076,14097,1150,1080,2230,281705,433662,690,1.044084579,397813.9477,576.5419532,1.1539,29.6499
Tooro,Kitagwenda District,25,19,44,8784,7235,16019,12738,7102,19840,4102,3527,7629,4338,3854,8192,24,18,42,8733,7191,15924,63574,70264,133838,12621,6859,19480,4263,3796,8059,4055,3496,7551,24,18,42,8723,7189,15912,12597,6960,19557,4260,16398,20658,4053,3501,7554,637,1094,1731,29987,21737,51724,4363,3873,8236,143786,184947,677,1.025493871,175865.7034,259.7720877,,
Acholi,Kitgum District,122,107,229,36172,21689,57861,33238,11528,44766,15754,12662,28416,20042,19239,39281,116,97,213,35295,21431,56726,249272,217684,466956,31272,11196,42468,19468,18643,38111,15557,12494,28051,115,97,212,34348,20880,55228,30593,10928,41521,19215,50721,69936,15314,12312,27626,1038,2048,3086,105328,65225,170553,20164,19346,39510,204048,239655,4391,1.016214565,232068.2161,52.85088046,3.3397,33.1689
West Nile,Koboko District,147,77,224,24358,13193,37551,27671,9987,37658,13634,10315,23949,17288,16074,33362,129,77,206,23418,12669,36087,187208,181076,368284,25913,9707,35620,16555,15247,31802,13071,9838,22909,129,78,207,22397,11970,34367,25151,9241,34392,15928,42765,58693,12479,9388,21867,1094,2663,3757,83098,49646,132744,17435,16151,33586,206495,271781,739,1.027852876,257251.0653,348.1069896,3.5237,31.0335
Lango,Kole District,26,14,40,21223,9991,31214,24421,7507,31928,9437,7029,16466,14151,12337,26488,26,14,40,21223,9970,31193,148374,149442,297816,24221,7506,31727,14151,12337,26488,9437,7029,16466,26,14,40,20829,9780,30609,23797,7359,31156,13894,35990,49884,9274,6909,16183,3066,6285,9351,69258,36878,106136,14177,12351,26528,239327,294301,1073,1.020892478,282378.5668,263.1673502,2.3031, 32.7633
Karamoja,Kotido District,40,37,77,9009,6230,15239,22015,12450,34465,6856,5741,12597,23103,21205,44308,35,34,69,8513,5997,14510,142968,172848,315816,20312,11173,31485,22393,20478,42871,6612,5386,11998,35,35,70,8502,5969,14471,20281,11493,31774,21980,57722,79702,6479,5339,11818,192,955,1147,61023,45663,106686,23143,21242,44385,181050,219734,3610,1.019553156,211386.63,58.55585318,3.0352, 34.0641
Teso,Kumi District,5,2,7,34629,21087,55716,43400,20674,64074,16085,13195,29280,17816,16842,34658,5,0,5,34510,21017,55527,238940,253288,492228,42809,20371,63180,17677,16722,34399,15984,13076,29060,5,0,5,34175,20781,54956,42537,20223,62760,19162,62038,81200,15854,12975,28829,1532,3146,4678,111935,71800,183735,17821,16844,34665,239268,286992,1005,1.018353399,276740.5225,275.3637039,1.4877,33.9304
Lango,Kwania District,24,15,39,17970,8772,26742,20622,7329,27951,8662,6653,15315,11870,10542,22412,24,14,38,17863,8753,26616,128762,130926,259688,20441,7310,27751,11838,10539,22377,8653,6644,15297,24,14,38,16535,8011,24546,18775,6554,25329,11065,29468,40533,7962,6142,14104,1186,2018,3204,59148,33311,92459,11894,10557,22451,183304,216125,1223,1.016607493,209121.3594,170.990482,1.9033,32.7633
Bugisu,Kween District,0,0,0,2465,2605,5070,4935,3677,8612,1129,1084,2213,1053,1022,2075,0,0,0,2310,2466,4776,18128,23724,41852,4499,3415,7914,954,925,1879,1058,1011,2069,0,0,0,2204,2384,4588,4360,3364,7724,918,5608,6526,1004,981,1985,74,132,206,9582,8388,17970,1053,1022,2075,93667,129277,851,1.032745867,121208.851,142.4310823,1.4126,34.5528
North Central,Kyankwanzi District,92,16,108,9003,6124,15127,13040,6439,19479,5403,4422,9825,6746,6175,12921,90,15,105,8596,5885,14481,74664,80550,155214,12165,6115,18280,6461,5963,12424,5149,4252,9401,90,80,170,7836,5370,13206,11016,5524,16540,5864,17869,23733,4711,3837,8548,498,1757,2255,34284,23176,57460,6838,6191,13029,214693,278432,2455,1.026337332,264325.3978,107.6681865,1.2061,31.8164
Tooro,Kyegegwa District,271,204,475,20103,14559,34662,34387,17466,51853,11851,9817,21668,13421,12436,25857,258,184,442,19658,14217,33875,163684,191580,355264,32574,16345,48919,13184,12049,25233,11466,9729,21195,259,184,443,19273,15325,34598,31720,15922,47642,12805,44396,57201,11301,9471,20772,981,2682,3663,80033,54482,134515,13692,12640,26332,281637,501120,1882,1.059315197,446571.8369,237.2857794,0.4818,31.055
Tooro,Kyenjojo District,45,29,74,24289,18136,42425,32139,20553,52692,11951,10357,22308,14294,13775,28069,42,30,72,22654,16926,39580,180058,186622,366680,28720,17599,46319,13238,12757,25995,11268,9655,20923,43,31,74,22556,16900,39456,28676,17605,46281,13224,45806,59030,11193,9629,20822,670,1558,2228,82718,62850,145568,14339,13804,28143,422204,543998,2352,1.025669629,517109.2556,219.8593774,0.6093,30.6401
South Central,Kyotera District,12,13,25,23013,20961,43974,24693,16515,41208,13196,11816,25012,10038,9569,19607,12,13,25,23013,20961,43974,177236,171704,348940,24693,16515,41208,10040,9569,19609,13196,11814,25010,12,13,25,23013,20961,43974,24693,16516,41209,10040,38953,48993,13196,11814,25010,346,1097,1443,70952,58874,129826,10050,9582,19632,239563,275917,1723,1.014228644,268229.6087,155.6759192,0.6359,31.5456
Acholi,Lamwo District,118,112,230,52193,41354,93547,35126,12565,47691,23612,21267,44879,23887,23659,47546,117,108,225,50317,39778,90095,365490,271142,636632,33966,12049,46015,23136,22833,45969,22847,20515,43362,117,108,225,50466,39919,90385,34189,12304,46493,23224,60342,83566,22940,20608,43548,984,2237,3221,134936,98957,233893,24005,23771,47776,134371,213156,5588,1.047223071,194365.4908,34.78265762,3.491,32.808
Lango,Lango,583,552,1135,239882,122152,362034,285823,95366,381189,114644,87347,201991,150079,136089,286168,578,546,1124,238544,121474,360018,1698602,1727960,3426562,283099,94396,377495,149027,135308,284335,114113,86917,201030,580,540,1120,234463,119423,353886,278162,92308,370470,146745,398492,545237,112274,85480,197754,15777,30407,46184,791011,441506,1232517,150662,136641,287303,2061694,2546118,12856,1.021328455,2440886.937,189.8636385,,
Lango,Lira City,35,34,69,8678,5154,13832,15592,6927,22519,4571,3759,8330,7376,7003,14379,33,34,67,8526,5045,13571,72694,88062,160756,15249,6778,22027,7067,6786,13853,4462,3634,8096,26,29,55,7981,4715,12696,14271,6236,20507,6643,20356,26999,4260,3457,7717,293,948,1241,36252,22877,59129,7411,7037,14448,207482,245132,285,1.016815033,237091.5588,831.9002063,2.2596,32.8903
Lango,Lira District,2,5,7,13095,6722,19817,19598,6145,25743,7066,5253,12319,9752,8554,18306,2,5,7,13010,6700,19710,100684,112042,212726,19387,6106,25493,9709,8531,18240,7042,5239,12281,2,5,7,12958,6675,19633,19301,6061,25362,9681,26160,35841,7015,5222,12237,754,1111,1865,49513,26679,76192,9754,8559,18313,200561,242216,1046,1.01905033,233244.5794,222.9871696,2.2316,32.9438
Busoga,Luuka District,29,32,61,24874,12844,37718,39605,14877,54482,16688,11974,28662,25515,20970,46485,28,31,59,24780,12773,37553,225518,257762,483280,39415,14739,54154,25331,20780,46111,16635,11922,28557,28,31,59,24427,12554,36981,38909,14518,53427,24751,67055,91806,16401,11750,28151,2150,5413,7563,106711,60697,167408,25544,21002,46546,238020,298639,650,1.02294741,285390.7602,439.062708,0.7251,33.3037
North Central,Luwero District,214,142,356,27548,25506,53054,32972,20267,53239,16291,15528,31819,15974,15719,31693,199,136,335,26589,23819,50408,228510,223628,452138,31108,19751,50859,15069,14715,29784,15772,15080,30852,192,127,319,26191,23397,49588,31850,19292,51142,14880,51713,66593,15482,15606,31088,3636,2655,6291,92999,77162,170161,16188,15861,32049,456958,616242,2216,1.030356466,580465.3395,261.9428428,0.8271, 32.6277
South Central,Lwengo District,50,31,81,15560,12995,28555,16129,8680,24809,8732,7573,16305,7754,7272,15026,32,23,55,14922,12530,27452,117676,102728,220404,14324,7648,21972,7117,6630,13747,8343,7247,15590,32,23,55,14715,12256,26971,13889,7429,21318,6941,22821,29762,8119,7040,15159,383,1128,1511,48225,36551,84776,7804,7303,15107,262604,325263,988,1.021629283,311636.2703,315.4213262,0.4165,31.3999
South Central,Lyantonde District,21,9,30,7881,6778,14659,9178,5938,15116,4011,3749,7760,5411,2858,8269,19,9,28,7867,6760,14627,61368,57306,118674,9125,5904,15029,3009,2836,5845,4007,3746,7753,18,8,26,7646,6602,14248,8915,5776,14691,2921,12749,15670,3924,3666,7590,170,415,585,26502,19332,45834,5432,2867,8299,93753,133017,887,1.035600371,124028.8605,139.829606,0.2241,31.2168
West Nile,Madi-Okollo District,29,22,51,27089,17943,45032,27088,8405,35493,14879,11977,26856,16984,16772,33756,28,22,50,26921,17851,44772,210868,192578,403446,27749,8332,36081,16892,16681,33573,14697,11888,26585,28,22,50,28287,17935,46222,27187,8430,35617,16940,43827,60767,14881,11976,26857,1123,2377,3500,86069,55119,141188,17013,16794,33807,140188,178051,2048,1.024196666,169737.4611,82.87961966,2.8218,31.2168
Bugisu,Manafwa District,2,2,4,7426,5731,13157,12106,8002,20108,5490,5066,10556,9139,7911,17050,18,2,20,7307,5595,12902,81056,92888,173944,11755,7659,19414,8974,7773,16747,5384,4895,10279,2,2,4,7097,5398,12495,11428,7357,18785,8678,25727,34405,5142,4602,9744,896,1459,2355,34163,26712,60875,9141,7913,17054,149544,186917,237,1.022558071,178761.0267,754.2659352,,
West Nile,Maracha District,2,3,5,31883,18068,49951,32149,9970,42119,18232,13341,31573,15428,13973,29401,2,4,6,31762,18022,49784,221528,205080,426608,31905,9924,41829,15272,13933,29205,18202,13299,31501,2,3,5,31149,17661,48810,31789,9726,41515,15056,41547,56603,17842,13025,30867,1816,4033,5849,97694,55355,153049,15430,13976,29406,186134,234712,440,1.023460199,224074.9857,509.2613311,3.2873,30.9403
South Central,Masaka City,8,3,11,4573,4652,9225,6993,5366,12359,2809,2613,5422,2669,2620,5289,8,3,11,4523,4594,9117,39678,44416,84094,6567,5190,11757,2584,2497,5081,2767,2592,5359,8,3,11,4510,4587,9097,6604,5210,11814,2577,10958,13535,2747,2579,5326,150,523,673,17052,15254,32306,2677,2623,5300,211591,294166,340,1.033497733,275406.0131,810.0176857,0.3427,31.7369
South Central,Masaka District,4,5,9,4425,4166,8591,4590,3225,7815,2250,2202,4452,1755,1723,3478,4,5,9,4432,4200,8632,33142,31590,64732,4611,3202,7813,1764,1708,3472,2296,2205,4501,4,5,9,4427,4194,8621,4611,3202,7813,1756,7176,8932,2304,2202,4506,73,293,366,13024,11321,24345,1759,1728,3487,106626,115455,855,1.007987074,113632.5676,132.9035878,0.4464,31.9018
