Region,District, 0-28 DAYS FEMALE ,0-28 DAYS MALE,0-28 DAYS TOTAL,10-19 YEARS FEMALE ,10-19 YEARS MALE ,10-19YRS TOTAL,20+ YRS FEMALE,20+ YRS MALE ,20+ YRS TOTAL,5-9YRS FEMALE,5-9YRS MALE,5-9YRS TOTAL,29 DAYS-4YRS FEMALE,29DAYS - 4YRS MALE,29 DAYS - 4YRS TOTAL,0-28 DAYS (B/S & RDT) FEMALE,0-28 DAYS (B/S & RDT) MALE ,0-28 DAYS  (B/S & RDT) TOTAL,10-19 YRS (B/S & RDT) FEMALE ,10-19 YRS (B/S & RDT) MALE ,10-19 YRS  (B/S & RDT) TOTAL,20+  (B/S &RDT) FEMALE, 20+ (B/S & RDT) MALE ,20 + (B/S & RDT) TOTAL,29DAYS-4YRS (B/S & RDT) FEMALE ,29DAYS-4YRS (B/S & RDT) MALE  ,29DAYS-4 YRS  (B/S & RDT) TOTAL,5-9YRS (B/S & RDT) FEMALE ,5-9YRS (B/S & RDT) MALE ,5-9YRS (B/S & RDT) TOTAL,0-28 DAYS FEMALE CT,0-28 DAYS MALE  CT,0-28 DAYS TOTAL CT,10-19 YRS FEMALE CT,10-19 YRS MALE  CT,10-19 YRS CT TOTAL,20 + YRS FEMALE CT,20 + YRS  MALE CT,20 + YRS CT TOTAL,29DAYS - 4YRS FEMALE CT,29 DAYS - 4YRS MALE CT,29 DAYS - 4YRS  CT TOTAL,5-9YRS FEMALE CT,5-9YRS MALE CT,5-9YRS CT TOTAL,PREG 10-19YRS,PREG 20 + YRS,TOTAL PREG,TOTAL CASES  FEMALE,TOTAL CASES  MALE,GRAND TOTAL CASES,<5YRS FEMALES TOTAL  ,<5YRS MALE TOTAL,< 5YRS GRAND TOTAL,POPULATION IN 2014,POPULATION IN 2024,AREA(Km2),ANNUAL GROWTH RATE[Pt​=P0​×(1+r)t],TOTAL POPULATION,POPULATION DENSITY(People per km2),CORDINATES (LATITUDE ° N),CORDINATES (LONGITUDE ° E),,,
Bunyoro,Masindi District,10,12,22,12737,9900,22637,15627,10695,26322,7706,6837,14543,9695,9251,18946,7,11,18,11768,9102,20870,108754,107998,216752,14052,9282,23334,8861,8236,17097,7209,6341,13550,7,11,18,12062,9435,21497,14589,9420,24009,9411,29403,38814,7438,6594,14032,446,956,1402,45775,36695,82470,9705,9263,18968,291113,342635,3891,1.016428918,331648.2416,85.23470615,1.6873,31.7138
Busoga,Mayuge District,40,12,52,26674,13696,40370,48146,18442,66588,17235,12945,30180,24491,21347,45838,40,11,51,26500,13615,40115,232368,283192,515560,47538,18298,65836,24361,21202,45563,17190,12957,30147,39,11,50,26165,13769,39934,46965,17950,64915,24188,69107,93295,17209,12788,29997,2508,4918,7426,116586,66442,183028,24531,21359,45890,473239,577563,1075,1.020121459,555003.3397,516.2821764,0.3125,33.528
Bugisu,Mbale City,44,29,73,12691,12028,24719,28047,14528,42575,6915,5856,12771,10262,8837,19099,38,71,109,12101,7695,19796,103550,145548,249098,25740,13489,39229,9884,8575,18459,6494,8522,15016,48,22,70,12086,7714,19800,25592,13510,39102,9785,34836,44621,6426,5640,12066,652,1446,2098,57959,41278,99237,10306,8866,19172,266617,290414,156,1.008586083,285490.4639,1830.067076,1.0871,34.1781
Bugisu,Mbale District,60,24,84,14132,9460,23592,21724,10665,32389,8240,6543,14783,12161,10291,22452,48,17,65,13857,9273,23130,120860,136838,257698,21383,10472,31855,11911,10070,21981,8065,6452,14517,49,17,66,13654,9177,22831,21104,10377,31481,11804,35494,47298,7949,9139,17088,821,1592,2413,56317,36983,93300,12221,10315,22536,222343,290356,360,1.027047984,275263.949,764.6220806,1.0344,34.1977
Ankole,Mbarara City,9,5,14,1426,1239,2665,3467,3011,6478,830,755,1585,934,1013,1947,1,2,3,1191,1046,2237,11544,16838,28382,2874,2557,5431,812,861,1673,692,620,1312,1,2,3,1103,972,2075,2613,2400,5013,765,4249,5014,642,584,1226,35,150,185,6666,6023,12689,943,1018,1961,199066,264425,471,1.028799021,249828.1824,530.4207695,0.6121, 30.6373
Ankole,Mbarara District,17,9,26,3016,3020,6036,4327,2744,7071,1496,1372,2868,1474,1366,2840,13,2,15,2852,2874,5726,22898,23516,46414,3863,2519,6382,1371,1263,2634,1431,1306,2737,3,2,5,2708,2693,5401,3680,2416,6096,1288,5424,6712,1362,1241,2603,32,145,177,10330,8511,18841,1491,1375,2866,145838,174039,773,1.017835486,167993.0842,217.3261115,0.6121,30.6373
Ankole,Mitooma District,2,2,4,5571,4506,10077,9227,5219,14446,2805,2551,5356,2941,2334,5275,2,2,4,5171,4210,9381,40032,44244,84276,7920,4576,12496,2566,2088,4654,2607,2361,4968,2,2,4,5158,4196,9354,7865,4551,12416,2559,10271,12830,2591,2342,4933,95,472,567,20546,14612,35158,2943,2336,5279,183444,226009,544,1.021085766,216771.054,398.4762022,0.6193,30.0203
North Central,Mityana District,41,20,61,25199,22196,47395,36693,23946,60639,15019,13701,28720,14765,13870,28635,15,13,28,21465,18923,40388,195542,199876,395418,30385,19831,50216,12844,12028,24872,12911,11908,24819,18,13,31,24513,21696,46209,35605,22857,58462,14393,54381,68774,14687,13399,28086,591,1857,2448,91717,73733,165450,14806,13890,28696,328964,407386,1525,1.021611499,390332.3578,255.9556444,0.4016,32.044
Karamoja,Moroto District,75,102,177,6411,4697,11108,8331,4748,13079,4607,4077,8684,9755,9174,18929,75,102,177,6221,4566,10787,77154,78320,155474,7892,4453,12345,9599,8961,18560,4278,3800,8078,75,102,177,6090,4472,10562,7715,4363,12078,9354,24004,33358,4149,3663,7812,197,709,906,29179,22798,51977,9830,9276,19106,103432,103639,3533,1.000199951,103597.5669,29.3228324,2.7495,34.5971
West Nile,Moyo District,71,105,176,23568,18465,42033,19495,8401,27896,12971,11226,24197,13105,13009,26114,71,102,173,21446,16607,38053,177074,142024,319098,17247,7515,24762,12248,12048,24296,11684,10098,21782,71,101,172,23883,17989,41872,18535,8095,26630,12672,34800,47472,12665,16969,29634,276,1046,1322,69210,51206,120416,13176,13114,26290,95951,109572,1072,1.013362919,106701.266,99.53476302,3.636,31.7651
South Central,Mpigi District,24,12,36,7310,6616,13926,11213,8719,19932,3890,3543,7433,3927,4000,7927,19,12,31,6977,6416,13393,57568,67620,125188,10855,8064,18919,3785,3847,7632,3769,3461,7230,18,11,29,6686,6145,12831,10562,7835,18397,3781,16448,20229,3619,3320,6939,160,692,852,26364,22890,49254,3951,4012,7963,250548,326690,1204,1.026891337,309803.8859,257.3121976,0.2274,32.3249
North Central,Mubende District,9,10,19,13589,10573,24162,22380,17089,39469,6827,6013,12840,7140,6559,13699,8,10,18,13189,10229,23418,99950,127166,227116,21654,16429,38083,6861,6247,13108,6584,5780,12364,8,20,28,12952,10118,23070,21248,16398,37646,6878,31899,38777,6666,5762,12428,850,1813,2663,49945,40244,90189,7149,6569,13718,412804,522015,2711,1.023749985,498075.4837,183.7238966,0.449,31.3542
North Central,Mukono District,132,115,247,22252,18930,41182,36086,21767,57853,14127,12856,26983,14127,13701,27828,107,100,207,21558,18450,40008,190052,212732,402784,33572,20403,53975,13267,12992,26259,13593,12333,25926,107,99,206,21254,18145,39399,32826,19991,52817,12998,48499,61497,13352,12128,25480,877,3222,4099,86724,67369,154093,14259,13816,28075,596804,929224,1831,1.045270922,850477.2084,464.4878255,0.2835, 32.7633
Karamoja,Nabilatuk District,3,8,11,3578,1826,5404,5296,1913,7209,2681,2225,4906,10475,8952,19427,3,8,11,3574,1819,5393,59474,63112,122586,5294,1891,7185,10475,8950,19425,2680,2255,4935,3,8,11,3574,1819,5393,5294,1891,7185,10474,23613,34087,2681,2255,4936,250,750,1000,22033,14924,36957,10478,8960,19438,68409,136785,1561,1.071747609,119084.0039,76.286998,2.091,34.5971
Karamoja,Nakapiripirit District,71,73,144,5130,3503,8633,9744,7677,17421,3679,3139,6818,12408,11731,24139,12,16,28,4739,3347,8086,78142,86938,165080,7794,6762,14556,11506,10910,22416,3489,2981,6470,13,14,27,4702,3337,8039,7716,6769,14485,11459,30940,42399,3472,2981,6453,267,649,916,31032,26123,57155,12479,11804,24283,88281,111681,2641,1.023790759,106550.8415,40.34488508,1.7013,34.5971
North Central,Nakaseke District,9,5,14,9863,8532,18395,14823,12555,27378,5583,5268,10851,5729,5760,11489,5,2,7,9103,7859,16962,78618,87854,166472,12960,10640,23600,5158,5048,10206,5225,4889,10114,5,2,7,8866,7701,16567,12871,10747,23618,5005,22383,27388,5068,4858,9926,245,871,1116,36007,32120,68127,5738,5765,11503,197373,251398,3475,1.024489255,239522.879,68.92744719,1.2231,32.0837
North Central,Nakasongola District,46,30,76,17194,13573,30767,17477,11438,28915,11134,9875,21009,12646,12331,24977,49,35,84,16594,13075,29669,151478,145268,296746,16697,10973,27670,12212,11914,24126,10946,9807,20753,50,35,85,16443,13023,29466,16884,11010,27894,12168,36846,49014,10877,9709,20586,559,1721,2280,58497,47247,105744,12692,12361,25053,181795,226074,3314,1.022037588,216429.7121,65.30769827,1.349,32.4467
Busoga,Namayingo District,49,43,92,20650,12778,33428,33357,16806,50163,14430,11623,26053,25199,22239,47438,49,43,92,20308,12520,32828,212822,245068,457890,33037,16706,49743,24915,22061,46976,14280,11446,25726,48,41,89,19661,12157,31818,32897,16223,49120,24557,68804,93361,13771,11199,24970,1934,3639,5573,93685,63489,157174,25248,22282,47530,215443,266716,587,1.021578321,255567.5638,435.3791547,0.3426,33.8411
Bugisu,Namisindwa District,1,1,2,6906,4855,11761,11200,5959,17159,3993,3265,7258,5863,5133,10996,1,1,2,6653,4704,11357,59226,67136,126362,10491,5627,16118,5529,4868,10397,3846,3205,7051,1,1,2,6540,4543,11083,10302,5538,15840,5446,16944,22390,3764,3098,6862,1023,1449,2472,27963,19213,47176,5864,5134,10998,204281,257346,298,1.023361195,245730.7651,824.5998829,0.9054,34.3754
Busoga,Namutumba District,20,22,42,19737,11934,31671,32383,14373,46756,16444,13273,29717,23783,20955,44738,20,22,42,19509,11864,31373,211740,239784,451524,31925,14260,46185,23479,20722,44201,16299,13167,29466,20,20,40,18700,11373,30073,30018,13715,43733,22713,61751,84464,15674,14094,29768,982,2802,3784,92367,60557,152924,23803,20977,44780,252557,311339,812,1.021144992,298578.6176,367.7076571,0.8493,33.6623
Karamoja,Napak District,19,11,30,7280,4750,12030,11809,4376,16185,6230,4903,11133,14840,12874,27714,19,11,30,7139,4672,11811,101376,107942,209318,11359,4249,15608,14621,12701,27322,6176,4835,11011,19,11,30,7064,4631,11695,11303,4233,15536,14530,34444,48974,6131,4797,10928,650,1103,1753,40178,26914,67092,14859,12885,27744,142224,211830,4822,1.040642258,195607.0713,40.56554776,2.4265,34.331
West Nile,Nebbi District,24,16,40,29598,16804,46402,37878,15297,53175,15168,12719,27887,23007,22433,45440,24,16,40,29408,16727,46135,239004,252840,491844,37592,15236,52828,22877,22377,45254,15102,13196,28298,24,16,40,29110,16505,45615,36817,14641,51458,22616,62200,84816,14947,12181,27128,1341,2392,3733,105675,67269,172944,23031,22449,45480,238757,299398,987,1.022890813,286147.7521,289.9166688,2.4104,31.2168
Teso,Ngora District,8,3,11,15994,9847,25841,23139,10554,33693,8267,6194,14461,7859,6664,14523,8,3,11,15878,9797,25675,109340,124960,234300,23084,10490,33574,7859,6575,14434,8267,6194,14461,8,3,11,15764,9689,25453,22633,10258,32891,7642,26939,34581,8192,6140,14332,1366,2835,4201,55267,33262,88529,7867,6667,14534,141919,213777,640,1.041818448,196959.4809,307.7491889,1.4908,33.7518
North Central,North Central,741,469,1210,186148,152005,338153,261866,169995,431861,114061,101651,215712,125049,119096,244145,641,429,1070,177383,143955,321338,1564530,1685620,3250150,244529,159298,403827,118679,112928,231607,108946,97297,206243,640,493,1133,177362,148087,325449,246532,160068,406600,118163,416693,534856,108865,97964,206829,10801,23067,33868,687865,543216,1231081,125790,119565,245355,,,,#DIV/0!,#DIV/0!,#DIV/0!,,
Tooro,Ntoroko District,1,4,5,2750,2094,4844,3486,1888,5374,1750,1536,3286,1985,1790,3775,1,4,5,2736,2075,4811,23754,24720,48474,3468,1872,5340,1966,1778,3744,1739,1532,3271,1,4,5,2580,1967,4547,3353,1811,5164,1902,5815,7717,1671,1456,3127,54,139,193,9972,7312,17284,1986,1794,3780,67005,114858,1236,1.055371602,103121.7898,83.43186877,1.0125,30.3897
Ankole,Ntungamo District,24,14,38,13738,12422,26160,18986,12006,30992,6134,5448,11582,5245,4737,9982,22,13,35,12875,11831,24706,92610,96550,189160,17161,11235,28396,4707,4292,8999,5721,5124,10845,22,13,35,12591,11548,24139,16851,11022,27873,4616,21960,26576,5611,5031,10642,168,568,736,44127,34627,78754,5269,4751,10020,483841,552786,1999,1.013410587,538252.6315,269.2609462,0.9807,30.2513
Acholi,Nwoya District,43,29,72,21329,11642,32971,28992,10347,39339,12177,9586,21763,17593,17039,34632,35,22,57,20861,11426,32287,177478,185496,362974,27801,9992,37793,17128,16441,33569,11928,9401,21329,35,22,57,20653,11275,31928,27536,9713,37249,16964,44904,61868,11779,9227,21006,961,2263,3224,80134,48643,128777,17636,17068,34704,133506,220593,4679,1.051499558,199514.0747,42.64032373,2.6351,32.0028
West Nile,Obongi District,182,139,321,27732,18316,46048,18564,6591,25155,12295,10271,22566,14871,14695,29566,183,142,325,26061,16885,42946,190806,142664,333470,16263,5879,22142,13842,13739,27581,11596,9691,21287,183,139,322,25711,17066,42777,17272,5959,23231,14115,35245,49360,11418,9898,21316,3581,920,4501,73644,50012,123656,15053,14834,29887,43061,142983,837,1.127509032,112471.9814,134.3751272,3.4335,31.5827
Acholi,Omoro District,32,31,63,32008,16227,48235,32259,8887,41146,15104,12161,27265,22107,18820,40927,32,30,62,31745,16099,47844,232196,216416,448612,31830,8806,40636,21877,18646,40523,14976,12011,26987,32,30,62,33513,16034,49547,31714,8732,40446,21791,53384,75175,14968,12083,27051,1446,2492,3938,101510,56126,157636,22139,18851,40990,142875,207339,1483,1.037940541,192458.0355,129.7761534,2.7152,32.492
Lango,Otuke District,6,10,16,20932,10705,31637,24097,6498,30595,11241,8075,19316,12865,11644,24509,6,9,15,20868,10683,31551,150782,148190,298972,23937,6456,30393,12809,11598,24407,11218,8062,19280,6,9,15,20675,10557,31232,23674,6360,30034,12689,32782,45471,11100,7903,19003,546,1385,1931,69141,36932,106073,12871,11654,24525,104254,161069,1549,1.044460267,147648.1859,95.31838986,2.5214,33.3486
Lango,Oyam District,374,365,739,41437,19199,60636,52122,18393,70515,17057,12821,29878,24524,22875,47399,374,365,739,41210,19113,60323,276678,295284,571962,51625,18301,69926,24426,22774,47200,16988,12780,29768,384,364,748,40123,18598,58721,50412,17931,68343,23926,67889,91815,16608,12472,29080,4905,8306,13211,135514,73653,209167,24898,23240,48138,383644,477464,2196,1.022118437,457023.1378,208.116183,2.2776,32.4467
Acholi,Pader District,31,30,61,54219,31078,85297,50196,15587,65783,24720,19438,44158,28280,25783,54063,28,28,56,53326,30584,83910,364374,321310,685684,48916,15133,64049,27836,25384,53220,24232,19099,43331,27,28,55,52188,30135,82323,48203,14753,62956,27207,71556,98763,23847,18779,42626,1536,3534,5070,157446,91916,249362,28311,25813,54124,178004,240159,3326,1.030402516,226196.065,68.00843807,2.9431,32.8084
West Nile,Pakwach District,21,25,46,22574,11574,34148,20090,9304,29394,11529,9343,20872,15899,15085,30984,21,25,46,22302,11469,33771,171346,161008,332354,19857,9211,29068,15771,14968,30739,11387,9264,20651,21,25,46,22302,11447,33749,19784,9192,28976,15618,42102,57720,11547,9243,20790,1282,2198,3480,70113,45331,115444,15920,15110,31030,158037,206961,877,1.027337104,196093.2149,223.595456,2.4738,31.3999
Bukedi,Pallisa District,237,202,439,28905,15169,44074,34213,10579,44792,18243,14065,32308,22289,19831,42120,237,201,438,28819,15127,43946,237624,238472,476096,34135,10436,44571,22275,19718,41993,18179,14057,32236,236,200,436,28469,14862,43331,33744,10368,44112,22046,56938,78984,17914,13897,31811,1805,3745,5550,103887,59846,163733,22526,20033,42559,275128,334697,796,1.01979224,321831.3996,404.3108035,1.2009,33.7071
South Central,Rakai District,27,28,55,34506,27284,61790,32591,18299,50890,17961,15490,33451,13910,12982,26892,27,28,55,34304,27403,61707,244210,221270,465480,32266,18073,50339,13867,12990,26857,17915,15469,33384,27,28,55,33981,26854,60835,31915,17936,49851,13743,48294,62037,17739,15302,33041,399,1230,1629,98995,74083,173078,13937,13010,26947,276746,346885,1528,1.02284639,331561.9513,216.9908058,0.7083,31.3542
Kigezi,Rubanda District,0,0,0,278,487,765,915,1956,2871,99,107,206,150,151,301,0,0,0,263,477,740,2494,6572,9066,865,1932,2797,147,143,290,94,105,199,0,0,0,248,468,716,844,1890,2734,139,2407,2546,91,98,189,9,35,44,1442,2701,4143,150,151,301,196896,249454,660,1.023942002,237924.8239,360.4921574,1.1517,29.8352
Ankole,Rubirizi District,7,3,10,6203,5460,11663,8744,5201,13945,2989,2718,5707,2516,2391,4907,6,3,9,6230,5487,11717,44680,48958,93638,8669,5169,13838,2521,2387,4908,2994,2730,5724,6,3,9,6225,5486,11711,8663,5159,13822,2519,10822,13341,2992,2730,5722,45,141,186,20459,15773,36232,2523,2394,4917,129149,168211,1096,1.026777479,159551.8057,145.5764651,0.2642,30.1084
Kigezi,Rukiga District,1,0,1,1432,1296,2728,1888,1438,3326,693,662,1355,653,586,1239,1,0,1,1410,1283,2693,10576,11586,22162,1840,1398,3238,647,576,1223,678,653,1331,1,0,1,1278,1165,2443,1675,1276,2951,594,2622,3216,615,599,1214,10,50,60,4667,3982,8649,654,586,1240,100726,132355,426,1.027684666,125320.0615,294.1785482,1.1326,30.0434
Kigezi,Rukungiri District,20,4,24,9766,8704,18470,13313,9567,22880,4452,4191,8643,4370,4042,8412,10,3,13,9625,8559,18184,70504,77540,148044,12950,9301,22251,4202,3906,8108,4331,4067,8398,10,3,13,8914,8285,17199,12244,8870,21114,3948,18103,22051,4079,3822,7901,107,498,605,31921,26508,58429,4390,4046,8436,314694,376110,1381,1.017987961,362935.6227,262.8063886,0.7518,29.9278
Ankole,Rwampara District,0,0,0,736,776,1512,1851,1242,3093,333,266,599,310,281,591,0,0,0,689,748,1437,5254,8138,13392,1752,1187,2939,294,273,567,309,254,563,0,0,0,660,724,1384,1678,1133,2811,287,1813,2100,301,247,548,20,67,87,3230,2565,5795,310,281,591,127725,162967,542,1.024666118,155215.4395,286.3753496,0.7476,30.482
South Central,Sembabule District,4,4,8,12149,9672,21821,19652,12655,32307,7039,6126,13165,7345,6558,13903,4,4,8,11753,9365,21118,96388,114528,210916,18960,12214,31174,7062,6314,13376,6786,5920,12706,4,4,8,11824,9381,21205,19261,12392,31653,7165,28941,36106,6821,5927,12748,434,1410,1844,46189,35015,81204,7349,6562,13911,252597,305971,2317,1.019354414,294462.402,127.0877868,0.0638,31.3542
Teso,Serere District,38,42,80,29522,16135,45657,24644,7470,32114,14071,11806,25877,12158,11639,23797,38,42,80,29399,16180,45579,190666,162180,352846,24290,7384,31674,12038,11522,23560,14004,11772,25776,38,42,80,28028,15479,43507,23347,7130,30477,11572,31516,43088,13342,11310,24652,1100,2124,3224,80433,47092,127525,12196,11681,23877,285903,358123,1495,1.022777935,342349.3547,228.9962239,1.4994,33.549
Ankole,Sheema District,0,0,0,856,849,1705,1519,1224,2743,350,364,714,397,313,710,0,0,0,817,841,1658,6164,7762,13926,1405,1148,2553,364,288,652,332,344,676,0,0,0,817,841,1658,1405,1147,2552,364,2068,2432,332,343,675,1,28,29,3122,2750,5872,397,313,710,207343,252275,327,1.019808162,242570.089,741.8045534,0.5515,30.3897
Bugisu,Sironko District,2,10,12,11950,8040,19990,20819,11510,32329,6076,4945,11021,7192,6036,13228,2,7,9,11436,7683,19119,86754,105762,192516,19269,10611,29880,6782,5623,12405,5831,4754,10585,3,8,11,10844,7300,18144,18422,10187,28609,6450,24455,30905,5572,4515,10087,573,1327,1900,46039,30541,76580,7194,6046,13240,242421,298363,383,1.020980559,286226.6186,747.3279858,1.2302,34.2491
Teso,Soroti City,36,27,63,14985,7622,22607,25420,10322,35742,5504,4707,10211,7118,6982,14100,33,24,57,14457,7283,21740,92216,109788,202004,23632,9015,32647,6523,6217,12740,5120,4336,9456,32,19,51,13811,7232,21043,24176,8706,32882,6360,22674,29034,4948,4202,9150,1182,2853,4035,53063,29660,82723,7154,7009,14163,98501,134199,205,1.031408875,126150.0862,615.3662742,,
Teso,Soroti District,29,23,52,25529,12101,37630,27622,7729,35351,10868,8505,19373,11199,10249,21448,29,23,52,25629,12081,37710,157166,152626,309792,27722,7720,35442,11199,10249,21448,10868,8504,19372,29,22,51,24919,11793,36712,27379,7541,34920,10827,30490,41317,10550,8320,18870,1799,4416,6215,75247,38607,113854,11228,10272,21500,198332,266189,1034,1.029863654,250975.1035,242.7225373,1.7229,33.528
South Central,South Central,1339,733,2072,192865,165274,358139,259725,171811,431536,112849,102941,215790,113146,103660,216806,725,486,1211,178463,156663,335126,1537866,1494992,3032858,224150,146990,371140,91774,86491,178265,102124,94817,196941,705,445,1150,178284,154458,332742,224357,147515,371872,91528,352389,443917,101700,94130,195830,3810,13930,17740,679924,544419,1224343,114485,104393,218878,,,,#DIV/0!,#DIV/0!,#DIV/0!,,
West Nile,Terego District,60,84,144,71062,31823,102885,49469,17145,66614,26526,21095,47621,32834,29734,62568,51,80,131,47157,30372,77529,375698,323572,699270,43254,15577,58831,29884,27594,57478,25160,20188,45348,50,79,129,46907,30141,77048,42628,15321,57949,30098,77823,107921,25021,20023,45044,1568,3905,5473,179951,99881,279832,32894,29818,62712,199303,323253,1200,1.049549371,293451.8275,244.5431896,3.171,31.1252
Teso,Teso,309,239,548,254449,141456,395905,288385,244730,533115,120967,94805,215772,123694,113279,236973,296,224,520,252422,140072,392494,1691518,1675720,3367238,283545,106386,389931,122164,111453,233617,119946,93863,213809,287,216,503,256629,138147,394776,280899,104917,385816,121726,366463,488189,118059,92509,210568,12405,27876,40281,787804,594509,1382313,124003,113518,237521,1819708,2462387,11650,1.030707558,2317850.328,198.9571097,1.7159,33.6111
Tooro,Tooro,559,421,980,169824,125534,295358,254696,146304,401000,88224,73119,161343,101940,94186,196126,513,376,889,161822,120635,282457,1281630,1427850,2709480,234098,136567,370665,97462,89743,187205,84850,70279,155129,522,404,926,160522,121400,281922,232771,135941,368712,97394,346695,444089,84161,70261,154422,5044,11860,16904,615243,439564,1054807,102499,94607,197106,1587531,2154161,8383,1.03099271,2026595.015,241.7505684,0.3886,30.3436
Bukedi,Tororo District,71,45,116,66397,41640,108037,78921,29027,107948,46064,38475,84539,55333,48024,103357,77,43,120,61339,37755,99094,574220,584802,1159022,74758,27162,101920,67345,45265,112610,42597,35161,77758,70,43,113,64710,39984,104694,76210,28353,104563,52526,137927,190453,44885,36990,81875,2101,4111,6212,246786,157211,403997,55404,48069,103473,1881415,2372489,4504,1.023462561,2264958.695,502.8771526,0.3886,30.3436
South Central,Wakiso District,1150,596,1746,47826,39707,87533,98081,67855,165936,32887,30113,63000,43163,37670,80833,561,358,919,36163,30495,66658,422820,426186,849006,68089,46954,115043,26165,23960,50125,23745,23328,47073,534,318,852,36756,32165,68921,67977,47817,115794,26133,105870,132003,23866,23261,47127,968,4358,5326,223107,175941,399048,44313,38266,82579,1997418,3411177,1884,1.054978307,3064906.256,1626.807992,0.063,32.4467
West Nile,West Nile,957,747,1704,452703,276795,729498,445298,168294,613592,227446,184432,411878,294750,278283,573033,881,714,1595,419260,268080,687340,3347692,3091668,6439360,414135,161478,575613,285638,282589,568227,220562,179855,400417,870,707,1577,616509,268822,885331,411392,160809,572201,284493,758645,1043138,219769,184322,404091,17432,32150,49582,1421154,908551,2329705,295707,279030,574737,2296403,3316255,10757,1.037432815,3081257.228,286.4420589,,
West Nile,Yumbe District,141,30,171,80742,51733,132475,81911,28666,110577,42423,34129,76552,66584,63228,129812,112,22,134,79821,50961,130782,674560,627754,1302314,79949,28167,108116,66095,62873,128968,42230,34430,76660,111,22,133,270263,52136,322399,79300,27956,107256,65902,166327,232229,41913,34203,76116,2029,4263,6292,271801,177786,449587,66725,63258,129983,484822,945100,2323,1.069029142,826986.9841,355.9995627,3.4698,31.2483
West Nile,Zombo District,19,22,41,22421,13545,35966,25914,11059,36973,11123,9461,20584,21108,19263,40371,11,9,20,21587,13186,34773,191496,206640,398136,24885,10430,35315,19994,28160,48154,10727,9108,19835,8,8,16,20893,12778,33671,23766,10204,33970,19365,50347,69712,10297,8699,18996,640,1234,,80585,53350,133935,21127,19285,40412,240081,312621,939,1.02675313,296541.9074,315.8060781,2.4882,30.8499
